ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,bp_rp,ag_gspphot,ruwe,abs_mag
58.65845264627161,0.04878494,19.906168357382406,0.034743145,7.894783333803146,0.052146275,20.075454904271886,0.06229164,-48.07985687773282,0.043385614,16.368244,3.047719,0.6699,1.0284839,10.854945249308154
59.271597297744655,0.16830544,20.737765944610018,0.123002276,7.274832361141681,0.18554531,17.870145922256057,0.21880299,-44.36871008373382,0.15854768,18.422775,3.426075,0.3694,1.1344302,12.731890218720729
58.429315767678595,0.019193117,20.83327996686479,0.01160598,7.435143270986129,0.020606905,19.851565000781413,0.027438859,-45.5223085487388,0.015456249,13.973773,1.9914875,1.7871,0.979916,8.330219710357012
59.49378311107562,0.07163477,20.405297383236228,0.04766345,7.614944207210018,0.07730563,18.553838418700664,0.09125402,-46.94812143276498,0.059630603,16.93339,3.1411257,0.6219,0.96483535,11.341723292280111
62.51594175616214,0.018378701,23.81203465672907,0.011976565,6.970396655277673,0.020302638,18.0444878832519,0.024516396,-42.63979162331537,0.019153576,14.181186,2.0500717,0.4298,1.0383452,8.397473185507392
60.70828661507774,0.040903557,23.510605573585625,0.023300067,7.092230790408538,0.045546386,17.656241912139183,0.049752474,-44.681983984621695,0.028442327,15.780696,2.659916,0.6312,1.053012,10.034610213551046
62.94873792884926,0.61834806,20.280894203274592,0.38741484,6.963604288212731,0.6371439,17.08731219193085,0.90141463,-44.94958746426396,0.63478875,19.984694,3.005371,--,1.1166222,14.198863947483439
54.2953225979299,0.08291328,21.20261253435869,0.067942746,7.4466370369517705,0.09406903,21.389948908626973,0.10902173,-44.706537060160585,0.09140507,17.220085,3.1985378,0.6522,1.0088705,11.579886074203431
60.26727827622592,0.044536855,20.37238261481197,0.028974496,7.573806043287782,0.051808253,18.44441493207085,0.05553697,-44.64933247830617,0.0353086,14.646451,2.376544,--,1.0870169,9.043021892052295
58.00344896750895,0.016333666,19.59667781774051,0.009659251,6.978051417124352,0.015726142,17.212314082167456,0.024690283,-42.636322921907876,0.013509012,10.32281,0.84440804,0.1653,0.94717985,4.541480998947028
60.462339847102015,0.20909996,22.98754147358761,0.13607748,7.519127412921546,0.23098686,19.072237960946527,0.28746054,-46.84703018955845,0.16826369,18.67558,3.576971,1.7383,0.98501277,13.05641629146241
60.41602110141787,0.25486445,22.7981591251435,0.1586981,7.681697327301263,0.30088544,18.93256727129894,0.33379194,-46.756298576075956,0.2100051,18.985168,3.6576176,0.4705,1.0201623,13.412454412941866
60.4409579001784,0.2768607,21.734592109829073,0.1670001,7.636665248820318,0.2965153,18.6435097113583,0.37945333,-46.225350887919795,0.2042807,19.061277,3.4297333,--,1.0663949,13.47579615871295
60.674638144597864,0.2381775,22.471640484717845,0.14176764,7.455209543147515,0.26822054,19.181386374317558,0.27834305,-47.912126565789784,0.16761778,18.830397,3.336359,--,1.0622364,13.192695925475105
58.568140253002525,0.13446353,20.92982058927158,0.08816804,6.978239021906169,0.14696652,18.82715305151012,0.18479757,-43.886811533189885,0.1135859,17.918812,3.432211,0.7242,1.0380905,12.137541003218415
58.61605936196911,0.01995115,21.389535691244504,0.012447641,7.489318997319018,0.021770384,19.086394973299612,0.027763434,-47.242977939221646,0.017469576,10.7659445,0.91490746,0.2065,1.4724106,5.138156126701329
59.872244943099595,0.11421434,21.66544844649711,0.07598685,7.165017013439219,0.12637374,17.959933088371038,0.13923633,-43.03456135624895,0.09497389,17.86347,3.2932549,0.7313,1.0496817,12.139556207381045
60.03406958175285,0.22308087,22.533500034007716,0.14343466,7.006824219644681,0.23396358,18.421698373075007,0.28148124,-44.08561430845259,0.17893827,18.82035,3.410759,0.0225,0.99088573,13.04795675934712
59.590166928688234,0.023327496,21.25746893772874,0.013970174,7.336126720514977,0.02416319,17.66425801053892,0.031890668,-44.9401682147099,0.018231567,11.235501,1.0230894,0.1916,1.2471755,5.562835411909424
59.502575809976356,0.62638813,21.305650982753992,0.38364574,7.2394021000028115,0.6981452,17.161632331856154,0.83756524,-45.58835123600519,0.50115216,19.95131,3.2769775,--,1.1039922,14.249822701253024
59.57270277016673,0.31692454,22.197839557284954,0.24351114,6.803286662328066,0.36031488,18.438783034193506,0.42526636,-44.99677800448765,0.3148514,18.826096,3.789503,--,1.5331144,12.989689434640667
62.98296179001682,0.014830679,17.37427096366099,0.009509966,7.766786181797508,0.016338734,21.481214807535824,0.018781163,-43.85399372801636,0.013183068,12.846157,1.5338039,0.7504,1.0169517,7.297363820332016
61.309693403045635,0.018797148,23.78434779705669,0.0119736185,7.897356125424411,0.019752674,19.587855659736164,0.029523252,-42.62684152576926,0.014834156,12.461637,1.7374239,0.4542,1.4095507,6.949045156486905
58.26761880948107,0.14152503,21.88980803819835,0.08915873,7.640420083089255,0.15525347,19.877369404068872,0.18687455,-47.95772125159041,0.11791808,17.879002,3.454523,--,1.0656203,12.294587804781354
57.409171523077866,0.028056772,22.53328562479943,0.01726293,7.295865291844413,0.028811403,18.218374885497603,0.036336496,-44.56881799548171,0.021936465,7.0043597,0.042464733,0.1659,1.0065733,1.3197437558467584
57.83246207983878,0.114958614,23.067645295503368,0.06596867,7.370749551185829,0.1310374,19.23268388146952,0.13327566,-43.413694043478245,0.08674997,17.615984,3.3113117,0.7518,1.0775449,11.953542236359207
54.80510435415978,0.047463804,21.84305262972688,0.033291087,7.194558583353505,0.053354938,19.987890673150705,0.056297835,-43.696853082697345,0.039131742,7.2714095,0.1051445,0.3051,1.5154308,1.556430277985136
55.22943355100129,0.02727335,22.349516222822036,0.021847818,7.315890465343226,0.03145779,20.13982097120118,0.039130922,-44.13541902105238,0.029032895,15.090019,2.49648,0.6079,1.0322741,9.411355198714809
54.100839213844964,0.12214762,22.6233133101884,0.09543882,6.914661542264928,0.1357344,21.14866861879432,0.183601,-44.06381224862981,0.12953717,16.49831,2.8757553,--,1.105108,10.69716472505882
57.452756301405834,0.14035286,18.636449051715303,0.08819959,7.414439527141082,0.15741506,20.915866281228922,0.1841611,-44.36526889352097,0.111779295,18.035467,3.3368626,0.7689,1.1062447,12.385858784750571
59.53209112589058,0.07766741,20.393801589985014,0.05409571,7.329226312355386,0.088110715,18.335675710578695,0.10076802,-44.40621533918134,0.07003908,16.838625,2.9978695,0.6436,1.1058738,11.163915614599125
59.5747029081332,0.19510444,20.451838146242665,0.13810967,6.605529309374009,0.20939519,18.8841431693265,0.24268347,-46.30667348069466,0.17047547,17.56202,3.592867,--,2.032824,11.661557467685281
59.4681481337614,0.0633787,21.037611616353228,0.042756896,7.044820199675307,0.07226962,17.177154945783474,0.08093571,-43.90851366833168,0.054807074,16.86807,3.2207775,0.8563,0.9890601,11.10742016928523
56.257022996186365,0.018686064,19.55917548871466,0.01294453,7.392478723407379,0.022814885,20.768730353749167,0.023328843,-43.31698258802733,0.015300792,9.302901,0.67842674,0.0713,1.1237687,3.6468516842023924
55.62382697122327,0.0711211,20.810895062445955,0.058752302,7.478133274099747,0.08032191,19.635252923015344,0.0961645,-46.74624082918962,0.072673716,16.40713,3.0169506,0.7025,1.055023,10.776095291790893
59.507160246046304,0.08338335,20.676582647453973,0.06259401,7.911046224523242,0.09531239,22.74195799056848,0.106082834,-48.440790256565684,0.080080345,9.2854595,0.65637016,0.0507,5.79663,3.7766291290253555
59.86223074756723,0.068450056,21.805050892323692,0.04683936,7.9215753621799845,0.08775519,18.949542641271112,0.08046081,-47.73655250945097,0.061903384,16.787525,3.2947426,0.9206,0.9906438,11.281582968198643
60.934130137648516,0.0195303,22.944085243969802,0.011119877,7.282259996149298,0.019416872,17.56554621937727,0.024376828,-44.82055368202391,0.012998205,9.525888,0.8012514,0.3549,1.2039791,3.837219344736738
60.34956501693293,0.06279938,19.142150308567718,0.03933136,7.6830974722227054,0.072493464,19.147251130656873,0.07923638,-46.86813283836027,0.048059452,16.651321,3.0455208,0.6643,1.0459704,11.079003125804196
59.09302532017072,0.043799464,21.12119347943441,0.02575918,7.545966627408137,0.050574854,19.28767320228885,0.056010254,-46.82267321693794,0.033027913,15.828851,2.7979155,0.6029,1.0911435,10.217425147004622
61.30723114703306,0.061493937,22.304919336011498,0.03803782,7.3118246583912,0.066250704,17.188156184577032,0.081298836,-46.42606879718156,0.045901924,16.657433,3.275464,1.1524,1.0012954,10.97756139729339
52.006616040812,0.07809905,23.078283083304413,0.05801851,7.13170764519702,0.07873291,20.49744413345669,0.1289584,-43.10357181172239,0.08449085,16.565022,2.9746141,0.6591,1.1194807,10.83098917263063
56.879793937715746,0.06646089,21.18071408449666,0.05321537,7.907977523120273,0.071462154,20.201596848501353,0.083597824,-48.22956223295642,0.06805125,16.878279,3.1077242,0.6314,0.9688982,11.368605863531052
60.29654496344955,0.12460686,19.400336042951235,0.07567951,6.941778998807934,0.14576487,17.1417579465673,0.16597813,-43.37279620017164,0.09371728,17.75449,3.3827991,0.7478,0.9850556,11.961843814613854
59.87260145061245,0.2505369,20.574672501463354,0.15719672,7.762467469564216,0.2724573,18.683341528625622,0.30471778,-44.0034709596904,0.19211002,19.03875,3.478899,--,1.0166264,13.48874866070337
61.45996719973193,0.11890896,20.83291170773939,0.06662691,7.632528729919505,0.1338968,17.51810591181267,0.1525379,-45.38257197361606,0.08607368,17.708714,3.36236,0.8225,1.039859,12.122055770092821
61.733535182577036,0.021409448,22.034448173178877,0.013570215,7.335246904574256,0.022842562,18.053060761550014,0.029082313,-46.289392325205924,0.020373555,14.216793,2.134594,0.7988,1.1631474,8.543866744239097
55.74083104485407,0.36554366,19.78492170946522,0.26742518,7.740637366254784,0.40759596,19.635258627393878,0.4863217,-44.48258895377281,0.31084746,19.225391,3.7060356,--,1.0419894,13.669274998363608
48.185166762752324,0.019356735,20.398997434189248,0.016029663,7.517347064318854,0.019946903,19.041622082022194,0.02576934,-48.33149200962086,0.02018469,9.056869,0.7843237,0.0034,1.3322648,3.4371915602382117
55.14725093305028,0.022657681,20.965557633826194,0.017451499,7.589501273110353,0.025133824,21.391571909544552,0.032165777,-45.20769139946536,0.022734314,14.841508,2.4416447,0.691,1.0194958,9.242574102455645
57.88447801323068,0.0899361,18.66604904696148,0.052554477,7.941337808681717,0.10189599,20.181134865843156,0.120005794,-46.999926510585816,0.07250253,17.21823,3.1795816,0.7275,0.9749493,11.717697646001096
59.1615557151752,0.09817196,21.585508415753093,0.05139144,7.050928928167679,0.08929637,18.148940758511863,0.13038589,-44.07519446975317,0.07025743,17.056017,3.0914402,0.66,1.0451274,11.297248607522292
